,MAPK_P,MAPK_P_P,pERK,t_pERK
412,0.027963186551089928,0.011692161191309433,0.03965534774239936,2060.0
413,0.02777038005120612,0.011529985958660605,0.03930036600986672,2065.0
414,0.027578054339078235,0.011369504007500104,0.03894755834657834,2070.0
415,0.0273862229668604,0.011210710361846753,0.03859693332870715,2075.0
416,0.027194899710970485,0.0110536000306347,0.038248499741605185,2080.0
417,0.02700409856516478,0.01089816800024436,0.03790226656540914,2085.0
418,0.02681383373334589,0.010744409227188537,0.03755824296053443,2090.0
419,0.026624119622109303,0.010592318630956632,0.037216438253065934,2095.0
420,0.026434970833032,0.010441891087030012,0.03687686192006201,2100.0
421,0.026246402154690183,0.01029312142005768,0.036539523574747865,2105.0
422,0.026058428554433265,0.010146004397219474,0.03620443295165274,2110.0
423,0.02587106516989383,0.010000534721764485,0.035871599891658314,2115.0
424,0.025684327300252458,0.009856707026738637,0.03554103432699109,2120.0
425,0.02549823039725174,0.009714515868905482,0.035212746266157224,2125.0
426,0.025312790055973,0.009573955722863027,0.03488674577883603,2130.0
427,0.025128022005373035,0.009435020975366063,0.034563042980739096,2135.0
428,0.024943942098591083,0.009297705919853919,0.034241648018445,2140.0
429,0.024760566303038543,0.009162004751194086,0.03392257105423263,2145.0
430,0.02457791069026007,0.009027911560642176,0.033605822250902244,2150.0
431,0.024395991425597712,0.008895420331025871,0.03329141175662358,2155.0
432,0.0242148247576516,0.008764524932153094,0.03297934968980469,2160.0
433,0.024034427007547668,0.008635219116457118,0.03266964612400479,2165.0
